,Date,Tm,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS
67,2021/3/24,SAS,LAC,L 101-134,240,39,85,0.459,32,63,0.508,7,22,0.318,16,19,0.842,101,49,88,0.557,32,55,0.582,17,33,0.515,19,30,0.633,134
68,2021/3/24,DEN,TOR,L 111-135,240,41,98,0.418,27,55,0.491,14,43,0.326,15,18,0.833,111,45,89,0.506,21,41,0.512,24,48,0.5,21,23,0.913,135
69,2021/3/24,TOR,DEN,W 135-111,240,45,89,0.506,21,41,0.512,24,48,0.5,21,23,0.913,135,41,98,0.418,27,55,0.491,14,43,0.326,15,18,0.833,111
70,2021/3/24,BRK,UTA,L 88-118,240,35,97,0.361,28,62,0.452,7,35,0.2,11,15,0.733,88,41,91,0.451,18,36,0.5,23,55,0.418,13,14,0.929,118
71,2021/3/24,UTA,BRK,W 118-88,240,41,91,0.451,18,36,0.5,23,55,0.418,13,14,0.929,118,35,97,0.361,28,62,0.452,7,35,0.2,11,15,0.733,88
72,2021/3/23,GSW,PHI,L 98-108,240,36,83,0.434,28,58,0.483,8,25,0.32,18,26,0.692,98,39,86,0.453,32,62,0.516,7,24,0.292,23,35,0.657,108
73,2021/3/23,PHI,GSW,W 108-98,240,39,86,0.453,32,62,0.516,7,24,0.292,23,35,0.657,108,36,83,0.434,28,58,0.483,8,25,0.32,18,26,0.692,98
74,2021/3/23,MIA,PHO,L 100-110,240,36,86,0.419,23,50,0.46,13,36,0.361,15,17,0.882,100,45,91,0.495,33,54,0.611,12,37,0.324,8,9,0.889,110
75,2021/3/23,PHO,MIA,W 110-100,240,45,91,0.495,33,54,0.611,12,37,0.324,8,9,0.889,110,36,86,0.419,23,50,0.46,13,36,0.361,15,17,0.882,100
76,2021/3/23,LAL,NOP,L 111-128,240,36,85,0.424,18,48,0.375,18,37,0.486,21,30,0.7,111,47,90,0.522,37,61,0.607,10,29,0.345,24,26,0.923,128
77,2021/3/23,NOP,LAL,W 128-111,240,47,90,0.522,37,61,0.607,10,29,0.345,24,26,0.923,128,36,85,0.424,18,48,0.375,18,37,0.486,21,30,0.7,111
78,2021/3/23,NYK,WAS,W 131-113,240,47,92,0.511,31,62,0.5,16,30,0.533,21,24,0.875,131,38,79,0.481,29,56,0.518,9,23,0.391,28,35,0.8,113
79,2021/3/23,WAS,NYK,L 113-131,240,38,79,0.481,29,56,0.518,9,23,0.391,28,35,0.8,113,47,92,0.511,31,62,0.5,16,30,0.533,21,24,0.875,131
80,2021/3/23,DEN,ORL,W 110-99,240,45,91,0.495,37,61,0.607,8,30,0.267,12,13,0.923,110,39,88,0.443,28,54,0.519,11,34,0.324,10,14,0.714,99
81,2021/3/23,ORL,DEN,L 99-110,240,39,88,0.443,28,54,0.519,11,34,0.324,10,14,0.714,99,45,91,0.495,37,61,0.607,8,30,0.267,12,13,0.923,110
82,2021/3/23,BRK,POR,W 116-112,240,43,87,0.494,34,57,0.596,9,30,0.3,21,27,0.778,116,36,90,0.4,17,35,0.486,19,55,0.345,21,23,0.913,112
